"HH_CODE_OLD","HH_CODE","b002","oblast","region","priz","hsize","child14","child5","Nempl","hhhsex","hhhage","hheduc","hhhst","hhhempl","hhhwt1","hhhwt2","xf1","xf2","xf3","xf4","xf5","xf6","xf7","xf8","xf9","xf10","xf11","xf12","xf13","xf14","xf15","xnf1","xnf2","xnf3","xnf4","xnf5","xnf6","xnf7","xnf8","xnf9","xnf10","xnf11","xnf12","xnf13","xnf14","xnf15","xnf16","xnf17","xnf18","xnf19","xh1","xh2","xh3","xe1","xe3","xe31","xe6","xe7","xe8","xe9","xe10","xe11","xu1","xu2","xu3","xu4","xu5","xu6","xu9","xu10","xu11","xu13","xa1","xa2","xa3","xa4","xa5","xa6","xa7","xeout","xtax","xother","xalim","xbuild","xhelp","xserv","cdur","y1","y2","y3","y41","y42","y43","y44","y45","y46","y5","y6","y7","y8","y9","y10","y11","y12","y13","toty","xf","xnf","xh","xe","xu","xa","cf","cnf","cserv","totx","totc","pcc","pccx","pccf","decilc","quintilc","quartilc","decilx","quintilx","quartilx","one","pline_dc","f_linec","pindex","one2","meanpi","cpi","pccddc","cpsc","fpsc","pgc","p2c","fpgc","fp2c"
61108,402202847,1,41706,3,3,5,1,1,1,1,80,8,4,0,0,0,17394.6751881044,4429.25513701561,7104.46413,0,3421.874925,286.785708,3312.25642090909,3809.71577413056,4928.97563320755,4510.357044,684.374985,0,477.031563043478,0,0,2000,6325,2185,0,0,3200,0,0,125,0,0,120,0,225,1538,1090,935,400,2581,1050,0,3030,0,0,0,0,0,0,0,0,0,0,0,0,2208.58,0,240,189,0,3000,9200,0,0,0,0,20,0,0,0,0,0,0,0,0,5505,1378.35091271454,34000,24780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,59236,50359.7665084107,20724,4080,0,14837.58,20,50359.7665084107,17399,24422.58,93579.6974211252,93559.6974211252,18711.939484225,18715.939484225,10071.9533016821,3,2,2,3,2,1,1,53.2,32.44,1.05215983017682,1,1.00048289045843,1.05165199746166,49.9102861591335,100,0,0.0618367263320778,0.0038237807234683,0,0
61109,100676060,2,41706,4,1,3,0,0,3,1,52,5,5,1,2,1,19151.9729538474,2704.910655,12536.01163,586.60713,2760.56027064206,1180.66323942857,1469.48048727273,9141.37630239284,413.362118592371,7088.47421439639,1710.9374625,307.523763545593,440.28124035,1303.5714,855.46873125,310,19850,3460,3045,1650,300,0,0,2800,0,0,500,0,0,1172,913,40,1645,20,20,0,0,0,0,0,0,0,0,0,420,140,0,0,0,1305.1,0,0,0,0,1280,5525,1050,1200,0,0,0,0,1000,4816.5,0,0,0,0,0,2840,2196.87040997495,146000,10080,0,0,0,0,0,0,0,0,0,0,0,0,0,49000,0,456,205536,61651.201599218,35705,20,560,8110.1,2050,66467.701599218,32605,11530.1,114849.672009193,112799.672009193,37599.890669731,38283.2240030643,22155.9005330727,9,5,4,8,4,4,1,53.2,32.44,0.993530064097355,1,1.00048289045843,0.993050529471932,103.438191665664,0,0,0,0,0,0
61110,760896895,2,41706,4,1,3,0,0,4,2,53,5,4,1,2,1,18547.090274657,590.942593730401,9151.071228,0,2389.99152097072,912.49998,1692.78057514286,3710.04888110313,244.4196375,2204.17743199993,594.4285584,97.767855,410.987094166667,0,0,600,7770,4030,0,0,0,0,0,1275,0,0,200,0,0,1070,583,105,140,58,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1734,0,300,0,0,3715,5000,1300,0,0,0,200,0,0,2600,0,0,0,0,0,2796,461.223513525305,53500,10660,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,0,456,92616,40546.2056306707,15831,95,0,10749,1500,43146.2056306707,14556,13640,73303.429144196,71803.429144196,23934.4763813987,24434.4763813987,14382.0685435569,6,3,3,5,3,2,1,53.2,32.44,0.993530064097355,1,1.00048289045843,0.993050529471932,65.8496536648451,0,0,0,0,0,0
61111,858061742,2,41706,4,1,2,1,0,1,2,66,7,4,1,6,0,14802.053247,2443.70698837113,5099.33698621632,0,2248.660665,325.89285,1423.4999688,1811.83257212121,468.893632693797,2986.36357090909,143.392854,162.946425,166.8571392,0,0,0,4110,2285,2055,0,0,0,0,0,0,0,200,0,0,544,260,30,70,23,175,0,0,0,0,0,0,0,0,0,0,55,0,0,345,1199,0,120,0,0,1140,3525,0,500,0,0,120,0,0,1397.5,0,0,0,0,0,785,87.4126388668664,0,24865,0,0,1000,0,0,0,0,0,0,0,0,0,0,23100,0,456,49421,32083.4368993115,9577,175,55,6329,120,33480.9368993115,9577,7344,50609.3495381784,50489.3495381784,25244.6747690892,25304.6747690892,16740.4684496558,6,3,3,6,3,3,1,53.2,32.44,0.993530064097355,1,1.00048289045843,0.993050529471932,69.4844556228322,0,0,0,0,0,0
61112,109156160,2,41706,4,1,2,0,0,1,2,51,3,1,1,1,2,12349.2673203445,1449.1026630564,8044.89778285714,0,2232.00391933333,0,2041.3928124,4215.36993440693,4118.24202218474,6491.36867163843,428.478251478261,0,899.674037190419,1117.34691428571,0,900,9850,2740,2430,0,640,0,100,0,0,0,562,0,2550,746,751,146,480,20,10,0,0,0,0,0,0,0,0,0,1100,310,0,0,0,1664.3,0,0,0,0,3215,1600,0,0,1375,0,0,0,1000,2405,1202,0,0,0,0,3762,6957.92330452353,20505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20500,11000,342,52347,43387.1443291759,21915,10,1410,6479.3,2375,45792.1443291759,21175,11661.3,89163.3676336994,85586.3676336994,42793.1838168497,44581.6838168497,22896.0721645879,9,5,4,9,5,4,1,53.2,32.44,0.993530064097355,1,1.00048289045843,0.993050529471932,117.680583295554,0,0,0,0,0,0
61114,591478272,1,41706,3,3,6,0,0,3,1,55,5,8,0,0,0,23236.446315239,2020.53567,4725.446325,0,4503.839187,0,3431.79340304348,3789.34720758621,1629.46425,2222.589237,893.877531428572,0,391.07142,0,912.49998,300,7250,2770,210,0,800,0,0,0,0,0,0,0,200,1542,529,60,110,32,3620,0,3650,0,2000,0,0,0,0,0,0,0,0,0,0,2380,0,160,30,0,9290,3000,13400,0,8000,0,0,0,0,0,3145,0,0,0,6200,4200,1506.59949488165,111391,19649,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,456,151496,47756.9105262972,13803,7270,2000,14860,21400,47756.9105262972,13003,28330,121341.510021179,90596.5100211789,15099.4183368631,20223.5850035298,7959.4850877162,2,1,1,3,2,2,1,53.2,32.44,1.05215983017682,1,1.00048289045843,1.05165199746166,40.2972257458042,100,0,0.242533350642778,0.0588224261740129,0,0
61115,611584950,1,41706,3,3,4,1,1,2,1,58,3,1,1,2,1,14941.4849964651,5182.71337185781,9756.58783481046,0,4961.71864125,711.371318789917,2698.84230537931,4556.42211150674,2242.00298421472,6819.54066685714,716.96427,0,312.857136,0,0,660,5465,2395,0,0,0,0,0,0,105000,0,0,0,0,1622,600,450,280,41,850,210,0,0,0,0,0,0,0,0,0,0,0,0,0,3429,0,400,0,0,4100,18360,9950,5000,7000,0,8580,0,0,9100,0,2600,0,0,16900,4235,4677.92226895661,46000,0,0,0,0,0,825,0,0,0,0,0,0,0,0,36000,0,456,83281,52900.5056371312,116513,1060,0,26289,25530,62000.5056371312,11513,34184,154805.427906088,112375.427906088,28093.8569765219,38701.3569765219,15500.1264092828,7,4,3,8,4,4,1,53.2,32.44,1.05215983017682,1,1.00048289045843,1.05165199746166,74.8837442533159,0,0,0,0,0,0
61118,975191456,1,41706,3,3,5,1,0,4,1,45,5,1,1,4,0,10583.6624907415,3454.1447713331,4758.03561,0,2965.624935,0,1746.785676,2175.34578734912,2150.89281,2155.54842214286,448.10266875,0,162.946425,0,0,240,9980,4135,0,0,0,0,0,0,0,0,0,0,0,1033,420,0,90,27,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,0,600,0,0,6840,3500,0,0,0,0,2500,0,60,0,0,22000,0,0,15200,5435,269.446171441401,60000,16800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,77256,30601.0895963166,15925,480,0,13140,2560,30601.0895963166,15925,41055,105610.535767758,87850.535767758,17570.1071535516,21122.1071535516,6120.21791926332,3,2,1,4,2,2,1,53.2,32.44,1.05215983017682,1,1.00048289045843,1.05165199746166,47.3137315413137,100,0,0.110644143960269,0.0122421265927008,0,0
61119,819040114,1,41706,3,3,4,3,0,2,2,31,6,1,1,5,0,10822.379754704,3384.940402,11732.1426,0,3897.29508264706,0,2384.27414129032,2717.42171178018,2867.85708,4376.35855716329,627.34373625,0,271.305797625,0,0,1740,8575,2495,300,0,70900,0,0,40,0,0,290,0,10200,1108,430,0,2945,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,1120,0,660,15420,10500,0,0,0,0,0,0,0,3250,0,40000,0,0,8300,2425,4294.1854486944,259000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,259456,43081.3188634598,99023,45,0,30200,0,46331.3188634598,28083,72670,159678.504312154,151378.504312154,37844.6260780386,39919.6260780386,11582.8297158649,9,5,4,9,5,4,1,53.2,32.44,1.05215983017682,1,1.00048289045843,1.05165199746166,102.125299148895,0,0,0,0,0,0
61120,721830984,1,41706,3,3,6,4,1,2,1,33,6,1,1,5,0,21005.9743148745,2852.648747,8108.80664045455,0,4937.2766775,1067.05697818488,4207.38907034483,7545.96620438391,3291.517785,8061.40404409091,670.408148571429,0,293.303565,0,0,1570,13100,2460,510,900,25500,0,0,0,0,0,940,0,0,1963,520,0,0,184,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2370,0,360,0,0,0,9500,1500,0,11501,22800,13100,0,9200,19500,0,0,0,0,8800,14130,2581.26071399778,48000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,48456,62041.752175405,47647,180,0,12230,58101,81541.752175405,22147,26540,199711.012889403,132810.012889403,22135.0021482338,33285.1688149005,13590.2920292342,5,3,2,8,4,3,1,53.2,32.44,1.05215983017682,1,1.00048289045843,1.05165199746166,58.815105585745,0,0,0,0,0,0
